id,name,created_at,advertisers_entities.id,entities.short_name,entities.is_active,entities.is_political,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name
00a07d20-989a-488f-9195-57ac17190dc1,Correggio Democratica,2022-09-07T07:15:41.087Z,581b031e-06d2-40fa-a42f-a38425eb7a1f,PD,true,true,Italy,it,108518361938487,Correggio Democratica,Facebook
00ee0c8b-4e10-480b-9b95-719856ef6790,PD Modena,2022-09-05T20:37:28.374Z,8bcca533-db52-4ac3-96c3-4d57a4548504,PD,true,true,Italy,it,351689543172,PD Modena,Facebook
01555d09-7389-49e1-a51b-1a7ab28a948a,Partito Democratico Bracciano,2022-09-21T08:45:37.797Z,fd6247f3-3f03-4902-aafb-6bec394e854d,PD,true,true,Italy,it,327625154101213,Partito Democratico Bracciano,Facebook
017381b5-cdd6-4607-9aa7-32432ff63ebc,Giacomo D'Arrigo PD,2022-09-07T07:15:41.748Z,7a30c894-ca13-4f92-83a5-be0b8c2973f1,PD,true,true,Italy,it,111764854985561,Giacomo D'Arrigo PD,Facebook
023e5a1d-880a-4dc2-bca9-729db85afa0b,PD Cordenons,2023-02-27T10:54:24.177Z,4b72fadc-ba82-452d-8f6e-9bed2318ea2b,PD,true,true,Italy,it,112640061546563,PD Cordenons,Facebook
055e3898-c89a-4034-9c7a-94a93e8d1c03,PD Santa Sofia,2023-08-27T05:07:40.996Z,6d31509e-c4bd-4e69-b624-76c8bb64e3de,PD,true,true,Italy,it,1500610086864012,PD Santa Sofia,Facebook
07aca229-290d-46f3-9ef6-032fd93a6863,Partito Democratico - Carate Brianza,2022-09-27T07:08:39.521Z,2d2de101-33b4-4cbe-9c24-3b06bd44d234,PD,true,true,Italy,it,719953938019744,Partito Democratico - Carate Brianza,Facebook
07f79a44-87b1-4af6-961b-5fcc4a054f88,Partito Democratico Valderice,2023-02-26T10:54:29.328Z,4543d73a-bd3f-4df4-8d88-158b3d32201b,PD,true,true,Italy,it,100150525201030,Partito Democratico Valderice,Facebook
084ab2b2-a6fe-4529-bcab-87e0ab3658b1,Antonella Russo - Partito Democratico,2022-09-26T17:36:16.650Z,a11c1dc4-63ce-4db7-a56d-675fb2c72286,PD,true,true,Italy,it,162461747779149,Antonella Russo - Partito Democratico,Facebook
09588826-b7f4-4c4d-8797-0db52dd72685,"Circolo PD ""Articolo 3"" Gorgonzola",2023-04-25T06:54:12.019Z,90d1aead-7a4c-4141-b866-89190ce42ed9,PD,true,true,Italy,it,156523304412671,"Circolo PD ""Articolo 3"" Gorgonzola",Facebook
